NCBI ID	Species
KY923518.1	Plasmodium falciparum
KY923517.1	Plasmodium falciparum
KY923516.1	Plasmodium falciparum
KY923515.1	Plasmodium falciparum
KY923514.1	Plasmodium falciparum
KY923513.1	Plasmodium falciparum
KY923512.1	Plasmodium falciparum
KJ418725.1	Plasmodium falciparum
KY923511.1	Plasmodium falciparum
KY923510.1	Plasmodium falciparum
KY923501.1	Plasmodium falciparum
KY923507.1	Plasmodium falciparum
KY923506.1	Plasmodium falciparum
KJ418724.1	Plasmodium falciparum
KJ418723.1	Plasmodium falciparum
KJ144901.1	Plasmodium falciparum
KY923505.1	Plasmodium falciparum
KY923504.1	Plasmodium falciparum
KT119847.1	Plasmodium falciparum
KY923503.1	Plasmodium falciparum
KY923502.1	Plasmodium falciparum
KY923509.1	Plasmodium falciparum
KY923508.1	Plasmodium falciparum
KY923540.1	Plasmodium falciparum
KJ569459.1	Plasmodium falciparum
KJ569485.1	Plasmodium falciparum
KJ569484.1	Plasmodium falciparum
KJ569483.1	Plasmodium falciparum
KJ569482.1	Plasmodium falciparum
KJ569481.1	Plasmodium falciparum
KJ569480.1	Plasmodium falciparum
KJ569479.1	Plasmodium falciparum
KJ569478.1	Plasmodium falciparum
KJ569477.1	Plasmodium falciparum
KJ569476.1	Plasmodium falciparum
KJ569475.1	Plasmodium falciparum
KJ569474.1	Plasmodium falciparum
KY923519.1	Plasmodium falciparum
KJ569473.1	Plasmodium falciparum
KJ569471.1	Plasmodium falciparum
KJ569470.1	Plasmodium falciparum
KJ569469.1	Plasmodium falciparum
KJ569468.1	Plasmodium falciparum
KJ569467.1	Plasmodium falciparum
KJ569466.1	Plasmodium falciparum
KJ569465.1	Plasmodium falciparum
KJ569464.1	Plasmodium falciparum
KJ569463.1	Plasmodium falciparum
KJ569462.1	Plasmodium falciparum
KJ569461.1	Plasmodium falciparum
KJ569460.1	Plasmodium falciparum
KJ569472.1	Plasmodium falciparum
KY923520.1	Plasmodium falciparum
KY923532.1	Plasmodium falciparum
KY923522.1	Plasmodium falciparum
KY923551.1	Plasmodium falciparum
KY923552.1	Plasmodium falciparum
KY923553.1	Plasmodium falciparum
KY923554.1	Plasmodium falciparum
KY923555.1	Plasmodium falciparum
KY923556.1	Plasmodium falciparum
KY923557.1	Plasmodium falciparum
KY923558.1	Plasmodium falciparum
KY923559.1	Plasmodium falciparum
KY923560.1	Plasmodium falciparum
KY923561.1	Plasmodium falciparum
KY923550.1	Plasmodium falciparum
KY923562.1	Plasmodium falciparum
KY923564.1	Plasmodium falciparum
KY923565.1	Plasmodium falciparum
KY923566.1	Plasmodium falciparum
KY923567.1	Plasmodium falciparum
KY923568.1	Plasmodium falciparum
KY923569.1	Plasmodium falciparum
KY923570.1	Plasmodium falciparum
KY923571.1	Plasmodium falciparum
KY923572.1	Plasmodium falciparum
KY923573.1	Plasmodium falciparum
KY923574.1	Plasmodium falciparum
KY923563.1	Plasmodium falciparum
KY923521.1	Plasmodium falciparum
KY923549.1	Plasmodium falciparum
KY923547.1	Plasmodium falciparum
KY923523.1	Plasmodium falciparum
KY923524.1	Plasmodium falciparum
KY923525.1	Plasmodium falciparum
KY923526.1	Plasmodium falciparum
KY923527.1	Plasmodium falciparum
KY923528.1	Plasmodium falciparum
KY923529.1	Plasmodium falciparum
KY923530.1	Plasmodium falciparum
